País,Simpatizantes de Oroszlan,Oposición Polip,región,% de simpatizantes de Oroszlan,% de oposición Polip
Székesvár,4956.908934,105.6885825,Dunántúl,97.9,2.1
Győrhely,4051.096766,278.801548,Dunántúl,93.6,6.4
Pannonburg,4158.892522,429.6504006,Dunántúl,90.6,9.4
Debrecenfeld,5340.89168,758.6968631,Nagy-Alföld,87.6,12.4
Szegedvár,958.6342118,184.1181248,Nagy-Alföld,83.9,16.1
Hortobágy,418.2259769,101.2004033,Nagy-Alföld,80.5,19.5
Königsfeld,2197.382295,676.6563082,Karpatenland,76.5,23.5
Lichtenau,1176.424045,413.643482,Karpatenland,74,26
Várhegy,2651.301015,1131.066099,Karpatenland,70.1,29.9
Stralsundheim,3176.158416,1574.802849,Ostseeküste,66.9,33.1
Kielerholm,500.2290431,282.1472627,Ostseeküste,63.9,36.1
Bergheim,1346.052713,863.5377148,Alpenvorland,60.9,39.1
Innsbrucktal,855.0887825,668.6309689,Alpenvorland,56.1,43.9
